question_id,mock_test_id,question_text,options,topic_id,question_order,question_type,explanation,correct_answer,pairs,matches,module_id,time_spent_seconds,created_at
1f65561c-4cde-4340-be4d-b2d407f12ca8,ai_cloud_practitioner_mock4_def789,Which factors affect fine-tuning success? (Select TWO),"[""Quality of training data"",""Learning rate selection"",""Monitor brand"",""Desk height"",""Room temperature""]",6,62,multiple,"**CORRECT ANSWERS: Options A, B (Indices 0, 1)**

Training data quality and learning rate are critical for successful fine-tuning.

✓ Why these options are correct:
• Each option independently meets the requirements
• Together they provide the complete solution
• All are essential for the scenario

**Why Other Options Are Incorrect:**

Option C (INCORRECT): This option only partially addresses the problem.

Option D (INCORRECT): This option doesn't provide a complete solution.

Option E (INCORRECT): This is not the best solution for this scenario.","[0,1]",null,null,m_6_2,null,2026-03-11 01:41:54.116876+00
060e8d9f-0b17-44f1-b927-cc233836f0d5,mock_5_all_1774921043968,"A data science team is developing a machine learning model to predict customer churn. They have collected raw customer data, but it contains missing values, inconsistent formats, and irrelevant columns. The team needs to prepare this data to maximize model performance and ensure data quality before training. Which step in the ML development lifecycle should they prioritize to address these issues effectively?","[""Option A: Data preprocessing and feature engineering to clean, transform, and select relevant attributes."",""Option B: Model training with various algorithms to find the best fit for the raw data."",""Option C: Model deployment to a production endpoint for real-time predictions."",""Option D: Hyperparameter tuning to optimize the model's internal configuration after initial training.""]",5,1,mcq,"Option A (correct) focuses on data preprocessing and feature engineering, which are crucial steps to clean, transform, and select relevant attributes from raw data. Addressing missing values, inconsistent formats, and irrelevant columns directly improves data quality, leading to more effective model training and better performance. This aligns with the principle that data quality is paramount for model quality. Option B (incorrect) suggests training on raw data, which would lead to poor model performance due to data quality issues, violating the need for effective data preparation. Option C (incorrect) involves model deployment, which is a later stage in the ML lifecycle and cannot be done effectively without a well-trained model from prepared data. Option D (incorrect) is about hyperparameter tuning, which occurs after initial model training and assumes the data has already been properly prepared.",[0],null,null,m_5_3,null,2026-04-01 02:22:01.346438+00
cb9026bc-2087-480c-bb75-dc5e6017dae9,mock_5_all_1774921043968,"A healthcare startup is building a machine learning model to detect a rare disease from patient data. The dataset is highly imbalanced, with only 1% of samples representing positive cases. The team initially evaluates the model using accuracy and finds it to be 99%, but clinical trials show poor detection of actual disease cases. Which evaluation metric should the team prioritize to accurately assess the model's effectiveness in identifying the rare disease?","[""Option A: Accuracy, as it represents the overall correctness of predictions."",""Option B: Recall (Sensitivity), to ensure a high proportion of actual positive cases are identified."",""Option C: Root Mean Squared Error (RMSE), to measure the average magnitude of errors in predictions."",""Option D: F1 Score, as it balances precision and recall, but recall is the primary concern here.""]",5,2,mcq,"Option B (correct) is Recall (Sensitivity), which measures the proportion of actual positive cases that are correctly identified. In a highly imbalanced dataset where the positive class is rare (like a rare disease), a high accuracy can be misleading if the model simply predicts the majority (negative) class most of the time. Maximizing recall ensures that the model minimizes false negatives, which is critical for detecting rare diseases. Option A (incorrect) is accuracy, which is misleading in imbalanced datasets because a model predicting only the majority class can still achieve high accuracy, failing to identify the rare positive cases. Option C (incorrect) is Root Mean Squared Error (RMSE), which is a metric typically used for regression problems, not for classification tasks like disease detection. Option D (incorrect) is the F1 Score, which is a harmonic mean of precision and recall. While useful for imbalanced datasets, the primary concern here is to identify as many actual positive cases as possible, making recall the most critical metric to prioritize over a balanced F1 score.",[1],null,null,m_5_3,null,2026-04-01 02:22:01.346438+00
6bbf1aea-493a-477b-8bfd-bee1d1704f0e,mock_5_all_1774921043968,"An e-commerce company has successfully deployed a recommendation engine that suggests products to customers based on their browsing history. Initially, the model performed exceptionally well, but over time, customers have started complaining about irrelevant recommendations. The data science team suspects that customer preferences have shifted, causing the model's performance to degrade. Which aspect of the ML development lifecycle was likely overlooked, leading to this issue?","[""Option A: Initial data collection and labeling, as the original dataset might have been insufficient."",""Option B: Extensive feature engineering to create more complex input variables for the model."",""Option C: Continuous model monitoring and retraining to adapt to changing data distributions."",""Option D: Using a more complex deep learning architecture during the initial model training phase.""]",5,3,mcq,"Option C (correct) points to continuous model monitoring and retraining. Models in production can suffer from 'model drift' or 'data drift' as real-world data distributions change over time (e.g., shifting customer preferences). Overlooking continuous monitoring and a strategy for periodic retraining means the model will eventually become stale and its performance will degrade, leading to irrelevant recommendations. Option A (incorrect) refers to initial data collection. While important, the problem describes degradation over time, implying the initial data was sufficient but became outdated. Option B (incorrect) suggests more extensive feature engineering. While beneficial, it doesn't address the dynamic nature of data and the need for ongoing adaptation. Option D (incorrect) proposes a more complex architecture. Model complexity doesn't inherently solve the problem of model drift; even complex models require monitoring and retraining to remain relevant.",[2],null,null,m_5_3,null,2026-04-01 02:22:01.346438+00
bcc3ba4b-bbaf-4711-9b5e-831d5498cc58,mock_5_all_1774921043968,"A startup is developing an AI-powered image recognition service. They have a large dataset of images for training their model, which is a computationally intensive process. Once trained, the model needs to perform real-time predictions on incoming images with low latency. The team wants to optimize costs for the inference stage, which will handle millions of requests daily. Which approach is MOST cost-effective for serving real-time inferences?","[""Option A: Use the same high-end GPU instances for inference as were used for training, to ensure consistency."",""Option B: Deploy the model on Amazon SageMaker endpoints configured with appropriate instance types for inference."",""Option C: Manually deploy the model on Amazon EC2 instances and manage the scaling and load balancing."",""Option D: Perform batch inference on a daily schedule using Amazon SageMaker Batch Transform to process all incoming images.""]",5,4,mcq,"Option B (correct) is to deploy the model on Amazon SageMaker endpoints configured with appropriate instance types for inference. SageMaker endpoints are designed for real-time inference, offering managed scaling, load balancing, and the ability to choose cost-optimized instance types (often different and less powerful than training instances) specifically for inference workloads. This provides a cost-effective and low-overhead solution for real-time predictions. Option A (incorrect) suggests using the same high-end GPU instances for inference as for training. Training often requires significant compute, but inference can often run on smaller, CPU-based, or specialized inference instances, making this approach unnecessarily expensive for daily, real-time requests. Option C (incorrect) involves manually deploying on Amazon EC2. While technically possible, it significantly increases operational overhead for managing scaling, load balancing, and patching, which is not cost-effective in terms of engineering effort. Option D (incorrect) proposes Amazon SageMaker Batch Transform. This is suitable for processing large batches of data asynchronously, but it does not meet the requirement for real-time predictions with low latency.",[1],null,null,m_5_3,null,2026-04-01 02:22:01.346438+00
2512919e-f863-4611-83f4-8075e9dc6512,mock_5_all_1774921043968,"A machine learning engineer is developing a model to classify customer reviews as positive or negative. After initial training, the model achieves very high accuracy on the training dataset but performs poorly on new, unseen customer reviews. This indicates that the model is not generalizing well. Which common ML concept best describes this situation and needs to be addressed?","[""Option A: Overfitting, where the model has learned the training data too well, including noise."",""Option B: Underfitting, where the model is too simple to capture the patterns in the data."",""Option C: Data leakage, where information from the test set is inadvertently used in training."",""Option D: Feature scaling, which is a preprocessing step to normalize numerical features.""]",5,5,mcq,"Option A (correct) describes overfitting. Overfitting occurs when a model learns the training data, including its noise and specific patterns, too precisely. This results in excellent performance on the training set but poor generalization to new, unseen data. The engineer needs to apply techniques like regularization, cross-validation, or use more data to prevent overfitting. Option B (incorrect) describes underfitting, which is the opposite problem where the model is too simple and fails to capture the underlying patterns in both training and new data. Option C (incorrect) describes data leakage, which is a serious issue where information from outside the training data is used to create the model, leading to overly optimistic performance estimates, but it's not the primary concept describing poor generalization after training. Option D (incorrect) refers to feature scaling, which is a data preprocessing technique and not a concept that describes model generalization issues post-training.",[0],null,null,m_5_3,null,2026-04-01 02:22:01.346438+00
a163d56a-b6ce-4f97-be32-1d408df97e76,mock_5_all_1774921043968,A startup is planning to build its first machine learning solution to automate document processing. They need to understand the sequence of steps involved from raw data to a deployed model. They want to ensure a structured approach to development. Which of the following represents the correct general order of stages in a typical ML development pipeline?,"[""Option A: Model Deployment, Data Collection, Model Training, Feature Engineering."",""Option B: Data Collection, Preprocessing, Feature Engineering, Model Training, Evaluation, Deployment, Monitoring."",""Option C: Model Evaluation, Data Preprocessing, Model Training, Data Collection, Deployment."",""Option D: Feature Engineering, Model Deployment, Data Collection, Model Training, Monitoring.""]",5,6,mcq,"Option B (correct) represents the typical and logical order of stages in an ML development pipeline: Data Collection (gathering raw data), Preprocessing (cleaning and transforming data), Feature Engineering (creating relevant features), Model Training (teaching the model patterns), Evaluation (assessing model performance), Deployment (making the model available for use), and Monitoring (tracking performance in production). This sequence ensures a structured and iterative approach. Option A (incorrect) places Model Deployment too early and mixes up other stages. Option C (incorrect) places Model Evaluation before Data Preprocessing and mixes up the order of other critical steps. Option D (incorrect) places Model Deployment too early and also mixes up the order of other stages, indicating a lack of understanding of the sequential dependencies in the ML lifecycle.",[1],null,null,m_5_3,null,2026-04-01 02:22:01.346438+00
30431a96-e132-4ba7-8c9a-285fe617beae,mock_5_all_1774921043968,"A retail company wants to use machine learning to forecast product demand. They have access to historical sales data, but it's stored in various formats across different databases and includes many inconsistencies and missing entries. Before training any model, the data science team needs to consolidate and prepare this data to ensure it's clean and usable. Which stage of the ML development lifecycle is most critical for addressing these initial data quality challenges?","[""Option A: Model evaluation, to determine the best performing algorithm."",""Option B: Model training, to learn patterns from the raw data."",""Option C: Data collection and preprocessing, to gather, clean, and transform the raw data."",""Option D: Model deployment, to make predictions available to business users.""]",5,7,mcq,"Option C (correct) is Data collection and preprocessing. This stage is most critical for gathering data from disparate sources, cleaning inconsistencies, handling missing values, and transforming data into a usable format for machine learning. High-quality data is foundational for any successful ML project, and addressing these challenges early prevents issues down the line. Option A (incorrect) is model evaluation, which occurs much later in the lifecycle, after a model has been trained. Evaluating a model on poor quality data would yield unreliable results. Option B (incorrect) is model training. Training a model on raw, inconsistent data would lead to a poorly performing or even unusable model, as the model would learn from noise and errors. Option D (incorrect) is model deployment, which is the final stage of making a trained and evaluated model available for use. It cannot be performed effectively without prior data preparation and model development.",[2],null,null,m_5_3,null,2026-04-01 02:22:01.346438+00
74adb567-8459-4609-8217-55a7d69eda34,mock_5_all_1774921043968,"A marketing department wants to understand customer segments based on their purchasing behavior, but they do not have predefined categories or labels for these segments. They need an AI approach that can automatically discover hidden patterns and group similar customers together without prior knowledge of the groups. Which type of machine learning is best suited for this task?","[""Option A: Supervised learning, as it uses labeled data to predict outcomes."",""Option B: Reinforcement learning, which involves an agent learning through trial and error."",""Option C: Deep learning, which uses neural networks for complex pattern recognition."",""Option D: Unsupervised learning, to find hidden patterns and structures in unlabeled data.""]",5,8,mcq,"Option D (correct) is Unsupervised learning. This type of machine learning is specifically designed to find hidden patterns and structures in unlabeled datasets, making it ideal for tasks like customer segmentation where predefined categories do not exist. Clustering algorithms, a subset of unsupervised learning, would be used here. Option A (incorrect) is Supervised learning, which requires labeled data (i.e., predefined customer segments) to train a model to predict those labels, which is not the case in this scenario. Option B (incorrect) is Reinforcement learning, which is used for training agents to make sequences of decisions in an environment to maximize a reward, not for discovering patterns in static datasets. Option C (incorrect) is Deep learning, which is a subset of machine learning using neural networks. While deep learning models can be used in both supervised and unsupervised contexts, 'deep learning' itself is a methodology, not a type of learning defined by the presence or absence of labels for the specific task of finding hidden patterns without prior knowledge.",[3],null,null,m_5_1,null,2026-04-01 02:22:01.346438+00
73084dcc-a3de-4604-8bf8-a257ef50349c,mock_5_all_1774921043968,"A tech company is developing an advanced system to recognize complex patterns in large image datasets, such as identifying specific objects or anomalies in medical scans. This task requires processing high-dimensional data and learning intricate features directly from the raw pixels. Which category of AI best describes the underlying technology that enables this capability?","[""Option A: Deep learning, a subset of machine learning that uses neural networks with many layers."",""Option B: Machine learning, which is a broad field of AI focused on statistical methods."",""Option C: Artificial intelligence, which is the overarching concept of machines simulating human intelligence."",""Option D: Reinforcement learning, which involves agents learning through interactions with an environment.""]",5,9,mcq,"Option A (correct) is Deep learning. Deep learning is a specialized subset of machine learning that utilizes artificial neural networks with multiple layers (deep neural networks) to learn complex patterns from large amounts of data, particularly effective for tasks involving unstructured data like images, audio, and text. This capability is essential for advanced image recognition. Option B (incorrect) is Machine learning, which is a broader field that encompasses deep learning. While deep learning is a type of machine learning, 'deep learning' more precisely describes the technology for complex pattern recognition in high-dimensional data. Option C (incorrect) is Artificial intelligence, which is the broadest concept, referring to machines simulating human intelligence. Deep learning is a specific approach within AI. Option D (incorrect) is Reinforcement learning, which is a type of machine learning where an agent learns to make decisions by interacting with an environment and receiving rewards or penalties, which is not the primary method for image pattern recognition.",[0],null,null,m_5_1,null,2026-04-01 02:22:01.346438+00
34ede353-cc7f-41a2-b620-7f150b61eb45,mock_5_all_1774921043968,"A content creation agency wants to generate unique marketing taglines and product descriptions automatically. They aim to produce creative, human-like text that resonates with different target audiences without relying on a fixed set of templates. Which type of AI model is best suited for generating new, original content based on learned patterns?","[""Option A: Discriminative AI, which classifies or predicts from input data."",""Option B: Generative AI, which creates new content by learning data distributions."",""Option C: Supervised learning models, trained on labeled datasets of existing taglines."",""Option D: Reinforcement learning models, optimized for sequential decision-making in content selection.""]",5,10,mcq,"Option B (correct) is Generative AI. Generative AI models, such as Large Language Models (LLMs), are specifically designed to create new, original content (text, images, audio, code) by learning the underlying patterns and distributions of their training data. This capability is ideal for generating unique marketing taglines and product descriptions. Option A (incorrect) is Discriminative AI, which focuses on classifying, predicting, or distinguishing between different inputs (e.g., classifying a tagline as good or bad), rather than creating new content. Option C (incorrect) refers to Supervised learning models. While they can be used to predict the 'best' tagline from a predefined set, they are not inherently designed to generate novel content. Option D (incorrect) is Reinforcement learning, which is used for training agents to make optimal decisions in an environment, not primarily for generating creative text content.",[1],null,null,m_5_1,null,2026-04-01 02:22:01.346438+00
4c36512b-c3ab-40a5-acde-54dd5b4113c4,mock_5_all_1774921043968,"A data scientist is preparing a dataset for a supervised machine learning model that will predict whether a customer will click on an advertisement. The dataset includes customer demographics (age, income), browsing history, and a column indicating whether they clicked (Yes/No). To train the model effectively, the data scientist needs to clearly define the input variables and the target variable. What are the 'customer demographics' and 'browsing history' considered in this context?","[""Option A: Labels, which are the outputs the model predicts."",""Option B: Features, which are the input variables used to make predictions."",""Option C: Datasets, which are the entire collection of information."",""Option D: Models, which are the trained algorithms that make predictions.""]",5,11,mcq,"Option B (correct) refers to 'Features'. In machine learning, features are the individual measurable properties or characteristics of a phenomenon being observed. In this scenario, customer demographics (age, income) and browsing history are the input variables that the model uses to learn patterns and make predictions. Option A (incorrect) refers to 'Labels' (or target variables), which are the outputs the model is trying to predict (in this case, whether the customer clicked 'Yes' or 'No'). Option C (incorrect) refers to 'Datasets', which is the entire collection of data, including both features and labels. Option D (incorrect) refers to 'Models', which are the algorithms that have been trained on the features and labels to make predictions.",[1],null,null,m_5_1,null,2026-04-01 02:22:01.346438+00
ca2d469b-d6dc-4ead-8524-d198b3ec8b17,mock_5_all_1774921043968,"A research team is developing an AI system to analyze complex satellite imagery for urban planning, specifically to identify different types of land use (e.g., residential, commercial, green spaces). This task involves processing vast amounts of pixel data and recognizing intricate spatial patterns. Which fundamental component of deep learning is primarily responsible for learning these hierarchical features from the image data?","[""Option A: Reinforcement learning agents, which learn optimal actions through trial and error."",""Option B: Decision trees, which make decisions based on a series of if-else rules."",""Option C: Neural networks, composed of interconnected layers that process and transform data."",""Option D: Linear regression models, which predict continuous values based on linear relationships.""]",5,12,mcq,"Option C (correct) is Neural networks. Neural networks, particularly deep neural networks (which are the foundation of deep learning), are composed of multiple interconnected layers that process and transform input data. They are highly effective at learning hierarchical features from complex, high-dimensional data like images, making them ideal for tasks such as land use classification in satellite imagery. Option A (incorrect) refers to reinforcement learning agents, which are used for sequential decision-making in dynamic environments, not for static image pattern recognition. Option B (incorrect) refers to decision trees, which are simpler models that make decisions based on a series of rules and are generally less effective for complex image analysis compared to deep neural networks. Option D (incorrect) refers to linear regression models, which are used for predicting continuous values based on linear relationships and are not suitable for complex image classification tasks.",[2],null,null,m_5_1,null,2026-04-01 02:22:01.346438+00
