question_id,certification,source_file
q_63_m_63_1_18,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_2_17,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_1_20,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_2_20,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_1_22,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_1_23,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_1_34,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_2_40,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_3_27,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_3_28,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_3_30,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_4_34,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_3_43,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_60_m_60_3_35,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_60_m_60_3_40,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_60_m_60_4_49,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_60_m_60_2_39,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_62_m_62_1_29,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_62_m_62_1_35,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_62_m_62_3_25,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_62_m_62_4_18,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_2_46,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_63_m_63_3_39,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_60_m_60_1_99,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_3_92,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_4_82,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_4_85,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_4_89,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_61_m_61_1_62,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_62_m_62_2_61,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_62_m_62_2_63,13_cloud_practitioner,13_cloud_practitioner_results.txt
q_62_m_62_2_65,13_cloud_practitioner,13_cloud_practitioner_results.txt
